Gene Set,entrez_gene,gene,symbol,description
NP,30963,ENSMUSG00000063275,Hacd1,3-hydroxyacyl-CoA dehydratase 1 [Source:MGI Symbol;Acc:MGI:1353592]
NP,12238,ENSMUSG00000051154,Commd3,COMM domain containing 3 [Source:MGI Symbol;Acc:MGI:88218]
NP,16181,ENSMUSG00000026981,Il1rn,interleukin 1 receptor antagonist [Source:MGI Symbol;Acc:MGI:96547]
NP,68475,ENSMUSG00000026966,Ssna1,SS nuclear autoantigen 1 [Source:MGI Symbol;Acc:MGI:1915725]
NP,83768,ENSMUSG00000026958,Dpp7,dipeptidylpeptidase 7 [Source:MGI Symbol;Acc:MGI:1933213]
NP,227620,ENSMUSG00000026956,Uap1l1,UDP-N-acteylglucosamine pyrophosphorylase 1-like 1 [Source:MGI Symbol;Acc:MGI:2443318]
NP,227622,ENSMUSG00000047617,Paxx,non-homologous end joining factor [Source:MGI Symbol;Acc:MGI:2442831]
NP,69454,ENSMUSG00000015093,Clic3,chloride intracellular channel 3 [Source:MGI Symbol;Acc:MGI:1916704]
NP,227632,ENSMUSG00000058740,Kcnt1,"potassium channel, subfamily T, member 1 [Source:MGI Symbol;Acc:MGI:1924627]"
NP,227638,ENSMUSG00000036327,Qsox2,quiescin Q6 sulfhydryl oxidase 2 [Source:MGI Symbol;Acc:MGI:2387194]
NP,68112,ENSMUSG00000026927,Entr1,endosome associated trafficking regulator 1 [Source:MGI Symbol;Acc:MGI:1915362]
NP,20933,ENSMUSG00000015776,Med22,mediator complex subunit 22 [Source:MGI Symbol;Acc:MGI:98446]
NP,20930,ENSMUSG00000015790,Surf1,surfeit gene 1 [Source:MGI Symbol;Acc:MGI:98443]
NP,NA,ENSMUSG00000014867,Surf4,surfeit gene 4 [Source:MGI Symbol;Acc:MGI:98445]
NP,381356,ENSMUSG00000015488,Cacfd1,calcium channel flower domain containing 1 [Source:MGI Symbol;Acc:MGI:1924317]
NP,12613,ENSMUSG00000026818,Cel,carboxyl ester lipase [Source:MGI Symbol;Acc:MGI:88374]
NP,69987,ENSMUSG00000026809,Spaca9,sperm acrosome associated 9 [Source:MGI Symbol;Acc:MGI:1917237]
NP,71820,ENSMUSG00000039715,Dync2i2,dynein 2 intermediate chain 2 [Source:MGI Symbol;Acc:MGI:1919070]
NP,66220,ENSMUSG00000015335,Zdhhc12,"zinc finger, DHHC domain containing 12 [Source:MGI Symbol;Acc:MGI:1913470]"
NP,57170,ENSMUSG00000026856,Dolpp1,dolichyl pyrophosphate phosphatase 1 [Source:MGI Symbol;Acc:MGI:1914093]
NP,30934,ENSMUSG00000026848,Tor1b,"torsin family 1, member B [Source:MGI Symbol;Acc:MGI:1353605]"
NP,30931,ENSMUSG00000026849,Tor1a,"torsin family 1, member A (torsin A) [Source:MGI Symbol;Acc:MGI:1353568]"
NP,320267,ENSMUSG00000026843,Fubp3,far upstream element (FUSE) binding protein 3 [Source:MGI Symbol;Acc:MGI:2443699]
NP,NA,ENSMUSG00000085224,Gm13425,predicted gene 13425 [Source:MGI Symbol;Acc:MGI:3649915]
NP,227715,ENSMUSG00000039356,Exosc2,exosome component 2 [Source:MGI Symbol;Acc:MGI:2385133]
NP,72931,ENSMUSG00000044627,Swi5,SWI5 recombination repair homolog (yeast) [Source:MGI Symbol;Acc:MGI:1920181]
NP,13481,ENSMUSG00000026810,Dpm2,dolichol-phosphate (beta-D) mannosyltransferase 2 [Source:MGI Symbol;Acc:MGI:1330238]
NP,50935,ENSMUSG00000026811,St6galnac6,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6 [Source:MGI Symbol;Acc:MGI:1355316]"
NP,14287,ENSMUSG00000009566,Fpgs,folylpolyglutamyl synthetase [Source:MGI Symbol;Acc:MGI:95576]
NP,329384,ENSMUSG00000053746,Ptrh1,peptidyl-tRNA hydrolase 1 homolog [Source:MGI Symbol;Acc:MGI:1913779]
NP,227736,ENSMUSG00000038987,Cfap157,cilia and flagella associated protein 157 [Source:MGI Symbol;Acc:MGI:2447809]
NP,227737,ENSMUSG00000026796,Niban2,niban apoptosis regulator 2 [Source:MGI Symbol;Acc:MGI:2442910]
NP,269261,ENSMUSG00000038900,Rpl12,ribosomal protein L12 [Source:MGI Symbol;Acc:MGI:98002]
NP,68365,ENSMUSG00000026878,Rab14,"RAB14, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1915615]"
NP,13830,ENSMUSG00000026880,Stom,stomatin [Source:MGI Symbol;Acc:MGI:95403]
NP,14594,ENSMUSG00000035778,Ggta1,"glycoprotein galactosyltransferase alpha 1, 3 [Source:MGI Symbol;Acc:MGI:95704]"
NP,66489,ENSMUSG00000062997,Rpl35,ribosomal protein L35 [Source:MGI Symbol;Acc:MGI:1913739]
NP,71897,ENSMUSG00000026765,Lypd6b,LY6/PLAUR domain containing 6B [Source:MGI Symbol;Acc:MGI:1919147]
NP,71684,ENSMUSG00000036249,Rbm43,RNA binding motif protein 43 [Source:MGI Symbol;Acc:MGI:1918934]
NP,64685,ENSMUSG00000026946,Nmi,N-myc (and STAT) interactor [Source:MGI Symbol;Acc:MGI:1928368]
NP,227937,ENSMUSG00000026991,Pkp4,plakophilin 4 [Source:MGI Symbol;Acc:MGI:109281]
NP,72137,ENSMUSG00000026988,Wdsub1,"WD repeat, SAM and U-box domain containing 1 [Source:MGI Symbol;Acc:MGI:1919387]"
NP,56878,ENSMUSG00000026970,Rbms1,"RNA binding motif, single stranded interacting protein 1 [Source:MGI Symbol;Acc:MGI:1861774]"
NP,59029,ENSMUSG00000026914,Psmd14,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 14 [Source:MGI Symbol;Acc:MGI:1913284]"
NP,13427,ENSMUSG00000027012,Dync1i2,dynein cytoplasmic 1 intermediate chain 2 [Source:MGI Symbol;Acc:MGI:107750]
NP,228026,ENSMUSG00000006494,Pdk1,"pyruvate dehydrogenase kinase, isoenzyme 1 [Source:MGI Symbol;Acc:MGI:1926119]"
NP,68526,ENSMUSG00000041762,Gpr155,G protein-coupled receptor 155 [Source:MGI Symbol;Acc:MGI:1915776]
NP,215280,ENSMUSG00000075284,Wipf1,"WAS/WASL interacting protein family, member 1 [Source:MGI Symbol;Acc:MGI:2178801]"
NP,11909,ENSMUSG00000027104,Atf2,activating transcription factor 2 [Source:MGI Symbol;Acc:MGI:109349]
NP,NA,ENSMUSG00000075279,Mrpl23-ps1,"mitichondrial ribosomal protein L23, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3650679]"
NP,18024,ENSMUSG00000015839,Nfe2l2,"nuclear factor, erythroid derived 2, like 2 [Source:MGI Symbol;Acc:MGI:108420]"
NP,241489,ENSMUSG00000075270,Pde11a,phosphodiesterase 11A [Source:MGI Symbol;Acc:MGI:3036251]
NP,22193,ENSMUSG00000027011,Ube2e3,ubiquitin-conjugating enzyme E2E 3 [Source:MGI Symbol;Acc:MGI:107412]
NP,20378,ENSMUSG00000027004,Frzb,frizzled-related protein [Source:MGI Symbol;Acc:MGI:892032]
NP,72657,ENSMUSG00000076437,Selenoh,selenoprotein H [Source:MGI Symbol;Acc:MGI:1919907]
NP,381379,ENSMUSG00000027080,Med19,mediator complex subunit 19 [Source:MGI Symbol;Acc:MGI:1914234]
NP,12258,ENSMUSG00000023224,Serping1,"serine (or cysteine) peptidase inhibitor, clade G, member 1 [Source:MGI Symbol;Acc:MGI:894696]"
NP,228139,ENSMUSG00000027071,P2rx3,"purinergic receptor P2X, ligand-gated ion channel, 3 [Source:MGI Symbol;Acc:MGI:1097160]"
NP,13046,ENSMUSG00000005506,Celf1,"CUGBP, Elav-like family member 1 [Source:MGI Symbol;Acc:MGI:1342295]"
NP,11432,ENSMUSG00000002103,Acp2,"acid phosphatase 2, lysosomal [Source:MGI Symbol;Acc:MGI:87882]"
NP,14061,ENSMUSG00000027249,F2,coagulation factor II [Source:MGI Symbol;Acc:MGI:88380]
NP,12672,ENSMUSG00000040495,Chrm4,"cholinergic receptor, muscarinic 4 [Source:MGI Symbol;Acc:MGI:88399]"
NP,104418,ENSMUSG00000040479,Dgkz,diacylglycerol kinase zeta [Source:MGI Symbol;Acc:MGI:1278339]
NP,192285,ENSMUSG00000058318,Phf21a,PHD finger protein 21A [Source:MGI Symbol;Acc:MGI:2384756]
NP,18633,ENSMUSG00000027222,Pex16,peroxisomal biogenesis factor 16 [Source:MGI Symbol;Acc:MGI:1338829]
NP,75641,ENSMUSG00000044916,1700029I15Rik,RIKEN cDNA 1700029I15 gene [Source:MGI Symbol;Acc:MGI:1916742]
NP,12521,ENSMUSG00000027215,Cd82,CD82 antigen [Source:MGI Symbol;Acc:MGI:104651]
NP,56348,ENSMUSG00000027195,Hsd17b12,hydroxysteroid (17-beta) dehydrogenase 12 [Source:MGI Symbol;Acc:MGI:1926967]
NP,12505,ENSMUSG00000005087,Cd44,CD44 antigen [Source:MGI Symbol;Acc:MGI:88338]
NP,228432,ENSMUSG00000074968,Ano3,anoctamin 3 [Source:MGI Symbol;Acc:MGI:3613666]
NP,66632,ENSMUSG00000057147,Dph6,diphthamine biosynthesis 6 [Source:MGI Symbol;Acc:MGI:1913882]
NP,68215,ENSMUSG00000027349,Fam98b,"family with sequence similarity 98, member B [Source:MGI Symbol;Acc:MGI:1915465]"
NP,20813,ENSMUSG00000009549,Srp14,signal recognition particle 14 [Source:MGI Symbol;Acc:MGI:107169]
NP,214239,ENSMUSG00000045838,Ccdc9b,coiled-coil domain containing 9B [Source:MGI Symbol;Acc:MGI:2685199]
NP,51944,ENSMUSG00000027331,Knstrn,kinetochore-localized astrin/SPAG5 binding [Source:MGI Symbol;Acc:MGI:1289298]
NP,228536,ENSMUSG00000040007,Bahd1,bromo adjacent homology domain containing 1 [Source:MGI Symbol;Acc:MGI:2139371]
NP,72136,ENSMUSG00000074916,Chst14,carbohydrate sulfotransferase 14 [Source:MGI Symbol;Acc:MGI:1919386]
NP,228543,ENSMUSG00000034226,Rhov,ras homolog family member V [Source:MGI Symbol;Acc:MGI:2444227]
NP,68925,ENSMUSG00000034032,Rpap1,RNA polymerase II associated protein 1 [Source:MGI Symbol;Acc:MGI:1916175]
NP,211499,ENSMUSG00000033808,Tmem87a,transmembrane protein 87A [Source:MGI Symbol;Acc:MGI:2441844]
NP,66606,ENSMUSG00000027286,Lrrc57,leucine rich repeat containing 57 [Source:MGI Symbol;Acc:MGI:1913856]
NP,96957,ENSMUSG00000054484,Tmem62,transmembrane protein 62 [Source:MGI Symbol;Acc:MGI:2139461]
NP,212670,ENSMUSG00000033486,Catsper2,"cation channel, sperm associated 2 [Source:MGI Symbol;Acc:MGI:2387404]"
NP,67578,ENSMUSG00000027233,Patl2,protein associated with topoisomerase II homolog 2 (yeast) [Source:MGI Symbol;Acc:MGI:1914828]
NP,69185,ENSMUSG00000023330,Dtwd1,DTW domain containing 1 [Source:MGI Symbol;Acc:MGI:1916435]
NP,11552,ENSMUSG00000058620,Adra2b,"adrenergic receptor, alpha 2b [Source:MGI Symbol;Acc:MGI:87935]"
NP,20638,ENSMUSG00000027404,Snrpb,small nuclear ribonucleoprotein B [Source:MGI Symbol;Acc:MGI:98342]
NP,269356,ENSMUSG00000074796,Slc4a11,"solute carrier family 4, sodium bicarbonate transporter-like, member 11 [Source:MGI Symbol;Acc:MGI:2138987]"
NP,72630,ENSMUSG00000074793,Hspa12b,heat shock protein 12B [Source:MGI Symbol;Acc:MGI:1919880]
NP,67326,ENSMUSG00000027327,1700037H04Rik,RIKEN cDNA 1700037H04 gene [Source:MGI Symbol;Acc:MGI:1914576]
NP,NA,ENSMUSG00000087405,Gm14232,predicted gene 14232 [Source:MGI Symbol;Acc:MGI:3701956]
NP,110911,ENSMUSG00000058793,Cds2,CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2 [Source:MGI Symbol;Acc:MGI:1332236]
NP,73747,ENSMUSG00000044991,Shld1,shieldin complex subunit 1 [Source:MGI Symbol;Acc:MGI:1920997]
NP,66586,ENSMUSG00000027357,Crls1,cardiolipin synthase 1 [Source:MGI Symbol;Acc:MGI:1913836]
NP,319909,ENSMUSG00000074766,Ism1,"isthmin 1, angiogenesis inhibitor [Source:MGI Symbol;Acc:MGI:2442963]"
NP,27054,ENSMUSG00000027429,Sec23b,"SEC23 homolog B, COPII coat complex component [Source:MGI Symbol;Acc:MGI:1350925]"
NP,66044,ENSMUSG00000027430,Dtd1,D-tyrosyl-tRNA deacylase 1 [Source:MGI Symbol;Acc:MGI:1913294]
NP,69362,ENSMUSG00000027443,Cst12,cystatin 12 [Source:MGI Symbol;Acc:MGI:1916612]
NP,14225,ENSMUSG00000032966,Fkbp1a,FK506 binding protein 1a [Source:MGI Symbol;Acc:MGI:95541]
NP,228769,ENSMUSG00000032869,Psmf1,"proteasome (prosome, macropain) inhibitor subunit 1 [Source:MGI Symbol;Acc:MGI:1346072]"
NP,NA,ENSMUSG00000085946,AA387200,expressed sequence AA387200 [Source:MGI Symbol;Acc:MGI:3034170]
NP,228775,ENSMUSG00000032715,Trib3,tribbles pseudokinase 3 [Source:MGI Symbol;Acc:MGI:1345675]
NP,14950,ENSMUSG00000019188,H13,histocompatibility 13 [Source:MGI Symbol;Acc:MGI:95886]
NP,140484,ENSMUSG00000046020,Pofut1,protein O-fucosyltransferase 1 [Source:MGI Symbol;Acc:MGI:2153207]
NP,16569,ENSMUSG00000027475,Kif3b,kinesin family member 3B [Source:MGI Symbol;Acc:MGI:107688]
NP,329540,ENSMUSG00000061411,Nol4l,nucleolar protein 4-like [Source:MGI Symbol;Acc:MGI:1918765]
NP,75608,ENSMUSG00000038467,Chmp4b,charged multivesicular body protein 4B [Source:MGI Symbol;Acc:MGI:1922858]
NP,269378,ENSMUSG00000027597,Ahcy,S-adenosylhomocysteine hydrolase [Source:MGI Symbol;Acc:MGI:87968]
NP,66734,ENSMUSG00000027602,Map1lc3a,microtubule-associated protein 1 light chain 3 alpha [Source:MGI Symbol;Acc:MGI:1915661]
NP,108687,ENSMUSG00000038312,Edem2,"ER degradation enhancer, mannosidase alpha-like 2 [Source:MGI Symbol;Acc:MGI:1915540]"
NP,20014,ENSMUSG00000027642,Rpn2,ribophorin II [Source:MGI Symbol;Acc:MGI:98085]
NP,20779,ENSMUSG00000027646,Src,Rous sarcoma oncogene [Source:MGI Symbol;Acc:MGI:98397]
NP,53619,ENSMUSG00000067787,Blcap,bladder cancer associated protein [Source:MGI Symbol;Acc:MGI:1858907]
NP,18111,ENSMUSG00000067786,Nnat,neuronatin [Source:MGI Symbol;Acc:MGI:104716]
NP,71878,ENSMUSG00000027654,Fam83d,"family with sequence similarity 83, member D [Source:MGI Symbol;Acc:MGI:1919128]"
NP,19281,ENSMUSG00000053141,Ptprt,"protein tyrosine phosphatase, receptor type, T [Source:MGI Symbol;Acc:MGI:1321152]"
NP,67996,ENSMUSG00000016921,Srsf6,serine and arginine-rich splicing factor 6 [Source:MGI Symbol;Acc:MGI:1915246]
NP,269389,ENSMUSG00000074607,Tox2,TOX high mobility group box family member 2 [Source:MGI Symbol;Acc:MGI:3611233]
NP,228858,ENSMUSG00000017943,Gdap1l1,ganglioside-induced differentiation-associated protein 1-like 1 [Source:MGI Symbol;Acc:MGI:2385163]
NP,26943,ENSMUSG00000017707,Serinc3,serine incorporator 3 [Source:MGI Symbol;Acc:MGI:1349457]
NP,18769,ENSMUSG00000035268,Pkig,"protein kinase inhibitor, gamma [Source:MGI Symbol;Acc:MGI:1343086]"
NP,22403,ENSMUSG00000027656,Ccn5,cellular communication network factor 5 [Source:MGI Symbol;Acc:MGI:1328326]
NP,58231,ENSMUSG00000018209,Stk4,serine/threonine kinase 4 [Source:MGI Symbol;Acc:MGI:1929004]
NP,102639814,ENSMUSG00000085649,A730032A03Rik,RIKEN cDNA A730032A03 gene [Source:MGI Symbol;Acc:MGI:2444311]
NP,209351,ENSMUSG00000074595,Wfdc6a,WAP four-disulfide core domain 6A [Source:MGI Symbol;Acc:MGI:2684968]
NP,433502,ENSMUSG00000070531,Wfdc6b,WAP four-disulfide core domain 6B [Source:MGI Symbol;Acc:MGI:3575430]
NP,76233,ENSMUSG00000017299,Dnttip1,"deoxynucleotidyltransferase, terminal, interacting protein 1 [Source:MGI Symbol;Acc:MGI:1923483]"
NP,228875,ENSMUSG00000017664,Slc35c2,"solute carrier family 35, member C2 [Source:MGI Symbol;Acc:MGI:2385166]"
NP,68949,ENSMUSG00000074578,Zfas1,"zinc finger, NFX1-type containing 1, antisense RNA 1 [Source:MGI Symbol;Acc:MGI:1916199]"
NP,NA,ENSMUSG00000085151,1110018N20Rik,RIKEN cDNA 1110018N20 gene [Source:MGI Symbol;Acc:MGI:1915753]
NP,81018,ENSMUSG00000006418,Rnf114,ring finger protein 114 [Source:MGI Symbol;Acc:MGI:1933159]
NP,407243,ENSMUSG00000090213,Tmem189,transmembrane protein 189 [Source:MGI Symbol;Acc:MGI:2142624]
NP,NA,ENSMUSG00000087074,Gm14249,predicted gene 14249 [Source:MGI Symbol;Acc:MGI:3651257]
NP,228911,ENSMUSG00000047907,Tshz2,teashirt zinc finger family member 2 [Source:MGI Symbol;Acc:MGI:2153084]
NP,66481,ENSMUSG00000039001,Rps21,ribosomal protein S21 [Source:MGI Symbol;Acc:MGI:1913731]
NP,20811,ENSMUSG00000027579,Srms,src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites [Source:MGI Symbol;Acc:MGI:101865]
NP,68556,ENSMUSG00000089917,Uckl1,uridine-cytidine kinase 1-like 1 [Source:MGI Symbol;Acc:MGI:1915806]
