gs,gene,symbol,entrez_gene,description
NP,ENSMUSG00000001095,Slc13a2,20500,"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2 [Source:MGI Symbol;Acc:MGI:1276558]"
NP,ENSMUSG00000001098,Kctd10,330171,potassium channel tetramerisation domain containing 10 [Source:MGI Symbol;Acc:MGI:2141207]
NP,ENSMUSG00000001120,Pcbp3,59093,poly(rC) binding protein 3 [Source:MGI Symbol;Acc:MGI:1890470]
NP,ENSMUSG00000001168,Oas1h,246729,2'-5' oligoadenylate synthetase 1H [Source:MGI Symbol;Acc:MGI:2180853]
NP,ENSMUSG00000001288,Rarg,19411,"retinoic acid receptor, gamma [Source:MGI Symbol;Acc:MGI:97858]"
NP,ENSMUSG00000001305,Rrp15,67223,ribosomal RNA processing 15 homolog [Source:MGI Symbol;Acc:MGI:1914473]
NP,ENSMUSG00000001334,Fndc5,384061,fibronectin type III domain containing 5 [Source:MGI Symbol;Acc:MGI:1917614]
NP,ENSMUSG00000001349,Cnn1,12797,calponin 1 [Source:MGI Symbol;Acc:MGI:104979]
NP,ENSMUSG00000001380,Hars,15115,histidyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:108087]
NP,ENSMUSG00000001416,Cct3,12462,"chaperonin containing Tcp1, subunit 3 (gamma) [Source:MGI Symbol;Acc:MGI:104708]"
NP,ENSMUSG00000001418,Glmp,56700,glycosylated lysosomal membrane protein [Source:MGI Symbol;Acc:MGI:1913318]
NP,ENSMUSG00000001420,Tmem79,71913,transmembrane protein 79 [Source:MGI Symbol;Acc:MGI:1919163]
NP,ENSMUSG00000001436,Slc19a1,20509,"solute carrier family 19 (folate transporter), member 1 [Source:MGI Symbol;Acc:MGI:103182]"
NP,ENSMUSG00000001497,Pax9,18511,paired box 9 [Source:MGI Symbol;Acc:MGI:97493]
NP,ENSMUSG00000001508,Sgca,20391,"sarcoglycan, alpha (dystrophin-associated glycoprotein) [Source:MGI Symbol;Acc:MGI:894698]"
NP,ENSMUSG00000001525,Tubb5,22154,"tubulin, beta 5 class I [Source:MGI Symbol;Acc:MGI:107812]"
NP,ENSMUSG00000001622,Csn3,12994,casein kappa [Source:MGI Symbol;Acc:MGI:107461]
NP,ENSMUSG00000001672,Marveld3,73608,MARVEL (membrane-associating) domain containing 3 [Source:MGI Symbol;Acc:MGI:1920858]
NP,ENSMUSG00000001783,Rtcb,28088,"RNA 2',3'-cyclic phosphate and 5'-OH ligase [Source:MGI Symbol;Acc:MGI:106379]"
NP,ENSMUSG00000001823,Hoxd12,15432,homeobox D12 [Source:MGI Symbol;Acc:MGI:96204]
NP,ENSMUSG00000001827,Folr1,14275,folate receptor 1 (adult) [Source:MGI Symbol;Acc:MGI:95568]
NP,ENSMUSG00000001962,Fam50a,108160,"family with sequence similarity 50, member A [Source:MGI Symbol;Acc:MGI:1351626]"
NP,ENSMUSG00000002043,Trappc6a,67091,trafficking protein particle complex 6A [Source:MGI Symbol;Acc:MGI:1914341]
NP,ENSMUSG00000002055,Spag5,54141,sperm associated antigen 5 [Source:MGI Symbol;Acc:MGI:1927470]
NP,ENSMUSG00000002058,Unc119,22248,unc-119 lipid binding chaperone [Source:MGI Symbol;Acc:MGI:1328357]
NP,ENSMUSG00000002076,Hsf2bp,74377,heat shock transcription factor 2 binding protein [Source:MGI Symbol;Acc:MGI:1921627]
NP,ENSMUSG00000002228,Ppm1j,71887,protein phosphatase 1J [Source:MGI Symbol;Acc:MGI:1919137]
NP,ENSMUSG00000002343,Armc6,76813,armadillo repeat containing 6 [Source:MGI Symbol;Acc:MGI:1924063]
NP,ENSMUSG00000002345,Borcs8,72368,BLOC-1 related complex subunit 8 [Source:MGI Symbol;Acc:MGI:1919618]
NP,ENSMUSG00000002365,Snx9,66616,sorting nexin 9 [Source:MGI Symbol;Acc:MGI:1913866]
NP,ENSMUSG00000002504,Slc9a3r2,65962,"solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 2 [Source:MGI Symbol;Acc:MGI:1890662]"
NP,ENSMUSG00000002588,Pon1,18979,paraoxonase 1 [Source:MGI Symbol;Acc:MGI:103295]
NP,ENSMUSG00000002635,Pdcd2l,68079,programmed cell death 2-like [Source:MGI Symbol;Acc:MGI:1915329]
NP,ENSMUSG00000002847,Pla1a,85031,phospholipase A1 member A [Source:MGI Symbol;Acc:MGI:1934677]
NP,ENSMUSG00000002908,Kcnn1,84036,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1 [Source:MGI Symbol;Acc:MGI:1933993]"
NP,ENSMUSG00000002944,Cd36,12491,CD36 molecule [Source:MGI Symbol;Acc:MGI:107899]
NP,ENSMUSG00000002980,Bcam,57278,basal cell adhesion molecule [Source:MGI Symbol;Acc:MGI:1929940]
NP,ENSMUSG00000002997,Prkar2b,19088,"protein kinase, cAMP dependent regulatory, type II beta [Source:MGI Symbol;Acc:MGI:97760]"
NP,ENSMUSG00000003033,Ap1m1,11767,"adaptor-related protein complex AP-1, mu subunit 1 [Source:MGI Symbol;Acc:MGI:102776]"
NP,ENSMUSG00000003348,Mob3a,208228,MOB kinase activator 3A [Source:MGI Symbol;Acc:MGI:3050117]
NP,ENSMUSG00000003421,Nosip,66394,nitric oxide synthase interacting protein [Source:MGI Symbol;Acc:MGI:1913644]
NP,ENSMUSG00000003429,Rps11,27207,ribosomal protein S11 [Source:MGI Symbol;Acc:MGI:1351329]
NP,ENSMUSG00000003464,Pex19,19298,peroxisomal biogenesis factor 19 [Source:MGI Symbol;Acc:MGI:1334458]
NP,ENSMUSG00000003528,Slc25a1,13358,"solute carrier family 25 (mitochondrial carrier, citrate transporter), member 1 [Source:MGI Symbol;Acc:MGI:1345283]"
NP,ENSMUSG00000003531,Dgcr6,13353,DiGeorge syndrome critical region gene 6 [Source:MGI Symbol;Acc:MGI:1202877]
NP,ENSMUSG00000003541,Ier3,15937,immediate early response 3 [Source:MGI Symbol;Acc:MGI:104814]
NP,ENSMUSG00000003546,Klc4,74764,kinesin light chain 4 [Source:MGI Symbol;Acc:MGI:1922014]
NP,ENSMUSG00000003555,Cyp17a1,13074,"cytochrome P450, family 17, subfamily a, polypeptide 1 [Source:MGI Symbol;Acc:MGI:88586]"
NP,ENSMUSG00000003665,Has1,15116,hyaluronan synthase 1 [Source:MGI Symbol;Acc:MGI:106590]
NP,ENSMUSG00000003848,Nob1,67619,NIN1/RPN12 binding protein 1 homolog [Source:MGI Symbol;Acc:MGI:1914869]
NP,ENSMUSG00000003865,Gys1,14936,"glycogen synthase 1, muscle [Source:MGI Symbol;Acc:MGI:101805]"
NP,ENSMUSG00000003882,Il7r,16197,interleukin 7 receptor [Source:MGI Symbol;Acc:MGI:96562]
NP,ENSMUSG00000004070,Hmox2,15369,heme oxygenase 2 [Source:MGI Symbol;Acc:MGI:109373]
NP,ENSMUSG00000004071,Cdip1,66626,cell death inducing Trp53 target 1 [Source:MGI Symbol;Acc:MGI:1913876]
NP,ENSMUSG00000004270,Lpcat3,14792,lysophosphatidylcholine acyltransferase 3 [Source:MGI Symbol;Acc:MGI:1315211]
NP,ENSMUSG00000004296,Il12b,16160,interleukin 12b [Source:MGI Symbol;Acc:MGI:96540]
NP,ENSMUSG00000004328,Hif3a,53417,"hypoxia inducible factor 3, alpha subunit [Source:MGI Symbol;Acc:MGI:1859778]"
NP,ENSMUSG00000004359,Spic,20728,Spi-C transcription factor (Spi-1/PU.1 related) [Source:MGI Symbol;Acc:MGI:1341168]
NP,ENSMUSG00000004446,Bid,12122,BH3 interacting domain death agonist [Source:MGI Symbol;Acc:MGI:108093]
NP,ENSMUSG00000004540,Psg17,26437,pregnancy specific glycoprotein 17 [Source:MGI Symbol;Acc:MGI:1347250]
NP,ENSMUSG00000004542,Psg19,26439,pregnancy specific glycoprotein 19 [Source:MGI Symbol;Acc:MGI:1347252]
NP,ENSMUSG00000004552,Ctse,13034,cathepsin E [Source:MGI Symbol;Acc:MGI:107361]
NP,ENSMUSG00000004567,Mcoln1,94178,mucolipin 1 [Source:MGI Symbol;Acc:MGI:1890498]
NP,ENSMUSG00000004612,Nkg7,72310,natural killer cell group 7 sequence [Source:MGI Symbol;Acc:MGI:1931250]
NP,ENSMUSG00000004651,Tyr,22173,tyrosinase [Source:MGI Symbol;Acc:MGI:98880]
NP,ENSMUSG00000004771,Rab11a,53869,"RAB11A, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1858202]"
NP,ENSMUSG00000004821,Tmed11,67366,transmembrane p24 trafficking protein 11 [Source:MGI Symbol;Acc:MGI:1914616]
NP,ENSMUSG00000004842,Pou1f1,18736,"POU domain, class 1, transcription factor 1 [Source:MGI Symbol;Acc:MGI:97588]"
NP,ENSMUSG00000004846,Plod3,26433,"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3 [Source:MGI Symbol;Acc:MGI:1347008]"
NP,ENSMUSG00000004894,Hapln2,73940,hyaluronan and proteoglycan link protein 2 [Source:MGI Symbol;Acc:MGI:2137300]
NP,ENSMUSG00000004929,Thop1,50492,thimet oligopeptidase 1 [Source:MGI Symbol;Acc:MGI:1354165]
NP,ENSMUSG00000004947,Dtx2,74198,"deltex 2, E3 ubiquitin ligase [Source:MGI Symbol;Acc:MGI:1921448]"
NP,ENSMUSG00000004948,Zp3,22788,zona pellucida glycoprotein 3 [Source:MGI Symbol;Acc:MGI:99215]
NP,ENSMUSG00000004952,Rasa4,54153,RAS p21 protein activator 4 [Source:MGI Symbol;Acc:MGI:1858600]
NP,ENSMUSG00000004961,Syt5,53420,synaptotagmin V [Source:MGI Symbol;Acc:MGI:1926368]
NP,ENSMUSG00000004988,Fxyd4,108017,FXYD domain-containing ion transport regulator 4 [Source:MGI Symbol;Acc:MGI:1889005]
NP,ENSMUSG00000004994,Ccdc130,67736,coiled-coil domain containing 130 [Source:MGI Symbol;Acc:MGI:1914986]
NP,ENSMUSG00000005087,Cd44,12505,CD44 antigen [Source:MGI Symbol;Acc:MGI:88338]
NP,ENSMUSG00000005148,Klf5,12224,Kruppel-like factor 5 [Source:MGI Symbol;Acc:MGI:1338056]
NP,ENSMUSG00000005161,Prdx2,21672,peroxiredoxin 2 [Source:MGI Symbol;Acc:MGI:109486]
NP,ENSMUSG00000005202,Shbg,20415,sex hormone binding globulin [Source:MGI Symbol;Acc:MGI:98295]
NP,ENSMUSG00000005220,Corin,53419,"corin, serine peptidase [Source:MGI Symbol;Acc:MGI:1349451]"
NP,ENSMUSG00000005339,Fcer1a,14125,"Fc receptor, IgE, high affinity I, alpha polypeptide [Source:MGI Symbol;Acc:MGI:95494]"
NP,ENSMUSG00000005364,Il5ra,16192,"interleukin 5 receptor, alpha [Source:MGI Symbol;Acc:MGI:96558]"
NP,ENSMUSG00000005413,Hmox1,15368,heme oxygenase 1 [Source:MGI Symbol;Acc:MGI:96163]
NP,ENSMUSG00000005493,Msh4,55993,mutS homolog 4 [Source:MGI Symbol;Acc:MGI:1860077]
NP,ENSMUSG00000005547,Cyp2a5,13087,"cytochrome P450, family 2, subfamily a, polypeptide 5 [Source:MGI Symbol;Acc:MGI:88597]"
NP,ENSMUSG00000005656,Snx6,72183,sorting nexin 6 [Source:MGI Symbol;Acc:MGI:1919433]
NP,ENSMUSG00000005864,Cnga2,12789,cyclic nucleotide gated channel alpha 2 [Source:MGI Symbol;Acc:MGI:108040]
NP,ENSMUSG00000005873,Reep5,13476,receptor accessory protein 5 [Source:MGI Symbol;Acc:MGI:1270152]
NP,ENSMUSG00000005883,Spo11,26972,SPO11 initiator of meiotic double stranded breaks [Source:MGI Symbol;Acc:MGI:1349669]
NP,ENSMUSG00000005891,Prl4a1,19110,"prolactin family 4, subfamily a, member 1 [Source:MGI Symbol;Acc:MGI:1206587]"
NP,ENSMUSG00000005892,Trh,22044,thyrotropin releasing hormone [Source:MGI Symbol;Acc:MGI:98823]
NP,ENSMUSG00000005986,Ankrd13d,68423,"ankyrin repeat domain 13 family, member D [Source:MGI Symbol;Acc:MGI:1915673]"
NP,ENSMUSG00000006005,Tpr,108989,"translocated promoter region, nuclear basket protein [Source:MGI Symbol;Acc:MGI:1922066]"
NP,ENSMUSG00000006007,Pdc,20028,phosducin [Source:MGI Symbol;Acc:MGI:98090]
NP,ENSMUSG00000006010,Odr4,226499,odr4 GPCR localization factor homolog [Source:MGI Symbol;Acc:MGI:2385108]
NP,ENSMUSG00000006050,Sra1,24068,steroid receptor RNA activator 1 [Source:MGI Symbol;Acc:MGI:1344414]
NP,ENSMUSG00000006056,Calcoco2,76815,calcium binding and coiled-coil domain 2 [Source:MGI Symbol;Acc:MGI:1343177]
NP,ENSMUSG00000006179,Prss16,54373,"protease, serine 16 (thymus) [Source:MGI Symbol;Acc:MGI:1859181]"
NP,ENSMUSG00000006200,Rhox6,19202,reproductive homeobox 6 [Source:MGI Symbol;Acc:MGI:1202888]
NP,ENSMUSG00000006204,Cdcp3,71395,CUB domain containing protein 3 [Source:MGI Symbol;Acc:MGI:1918645]
NP,ENSMUSG00000006311,Etv2,14008,ets variant 2 [Source:MGI Symbol;Acc:MGI:99253]
NP,ENSMUSG00000006390,Elovl1,54325,"elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 1 [Source:MGI Symbol;Acc:MGI:1858959]"
NP,ENSMUSG00000006392,Med8,80509,mediator complex subunit 8 [Source:MGI Symbol;Acc:MGI:1915269]
NP,ENSMUSG00000006442,Srm,20810,spermidine synthase [Source:MGI Symbol;Acc:MGI:102690]
NP,ENSMUSG00000006469,Slc34a3,142681,"solute carrier family 34 (sodium phosphate), member 3 [Source:MGI Symbol;Acc:MGI:2159410]"
NP,ENSMUSG00000006517,Mvd,192156,mevalonate (diphospho) decarboxylase [Source:MGI Symbol;Acc:MGI:2179327]
NP,ENSMUSG00000006546,Cryba2,12958,"crystallin, beta A2 [Source:MGI Symbol;Acc:MGI:104336]"
NP,ENSMUSG00000006589,Aprt,11821,adenine phosphoribosyl transferase [Source:MGI Symbol;Acc:MGI:88061]
NP,ENSMUSG00000006599,Gtf2h1,14884,"general transcription factor II H, polypeptide 1 [Source:MGI Symbol;Acc:MGI:1277216]"
NP,ENSMUSG00000006675,P4htm,74443,"prolyl 4-hydroxylase, transmembrane (endoplasmic reticulum) [Source:MGI Symbol;Acc:MGI:1921693]"
NP,ENSMUSG00000006732,Mettl1,17299,methyltransferase like 1 [Source:MGI Symbol;Acc:MGI:1339986]
NP,ENSMUSG00000006740,Kif5b,16573,kinesin family member 5B [Source:MGI Symbol;Acc:MGI:1098268]
NP,ENSMUSG00000006777,Krt23,94179,keratin 23 [Source:MGI Symbol;Acc:MGI:2148866]
NP,ENSMUSG00000006818,Sod2,20656,"superoxide dismutase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:98352]"
NP,ENSMUSG00000006920,Ezh1,14055,enhancer of zeste 1 polycomb repressive complex 2 subunit [Source:MGI Symbol;Acc:MGI:1097695]
NP,ENSMUSG00000007021,Syngr3,20974,synaptogyrin 3 [Source:MGI Symbol;Acc:MGI:1341881]
NP,ENSMUSG00000007209,Ceacam9,26368,carcinoembryonic antigen-related cell adhesion molecule 9 [Source:MGI Symbol;Acc:MGI:1347247]
NP,ENSMUSG00000007655,Cav1,12389,"caveolin 1, caveolae protein [Source:MGI Symbol;Acc:MGI:102709]"
NP,ENSMUSG00000007872,Id3,15903,inhibitor of DNA binding 3 [Source:MGI Symbol;Acc:MGI:96398]
NP,ENSMUSG00000007877,Tcap,21393,titin-cap [Source:MGI Symbol;Acc:MGI:1330233]
NP,ENSMUSG00000007908,Hmgcll1,208982,3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase-like 1 [Source:MGI Symbol;Acc:MGI:2446108]
NP,ENSMUSG00000008305,Tle1,21885,transducin-like enhancer of split 1 [Source:MGI Symbol;Acc:MGI:104636]
NP,ENSMUSG00000008373,Prpf31,68988,pre-mRNA processing factor 31 [Source:MGI Symbol;Acc:MGI:1916238]
NP,ENSMUSG00000008393,Carhsp1,52502,calcium regulated heat stable protein 1 [Source:MGI Symbol;Acc:MGI:1196368]
NP,ENSMUSG00000008475,Arpc5,67771,"actin related protein 2/3 complex, subunit 5 [Source:MGI Symbol;Acc:MGI:1915021]"
NP,ENSMUSG00000008482,Rnf151,67504,ring finger protein 151 [Source:MGI Symbol;Acc:MGI:1914754]
NP,ENSMUSG00000008590,Htr3b,57014,5-hydroxytryptamine (serotonin) receptor 3B [Source:MGI Symbol;Acc:MGI:1861899]
NP,ENSMUSG00000008682,Rpl10,110954,ribosomal protein L10 [Source:MGI Symbol;Acc:MGI:105943]
NP,ENSMUSG00000008789,Ceacam5,73250,carcinoembryonic antigen-related cell adhesion molecule 5 [Source:MGI Symbol;Acc:MGI:1920500]
NP,ENSMUSG00000008843,Cldn13,57255,claudin 13 [Source:MGI Symbol;Acc:MGI:1913102]
NP,ENSMUSG00000009013,Dynll1,56455,dynein light chain LC8-type 1 [Source:MGI Symbol;Acc:MGI:1861457]
NP,ENSMUSG00000009075,Cabp7,192650,calcium binding protein 7 [Source:MGI Symbol;Acc:MGI:2183437]
NP,ENSMUSG00000009076,Zmat5,67178,"zinc finger, matrin type 5 [Source:MGI Symbol;Acc:MGI:1914428]"
NP,ENSMUSG00000009093,Gstt4,75886,"glutathione S-transferase, theta 4 [Source:MGI Symbol;Acc:MGI:1923136]"
NP,ENSMUSG00000009115,Spatc1l,76573,spermatogenesis and centriole associated 1 like [Source:MGI Symbol;Acc:MGI:1923823]
NP,ENSMUSG00000009210,Prr29,75573,proline rich 29 [Source:MGI Symbol;Acc:MGI:1922823]
NP,ENSMUSG00000009293,Ube2g2,22213,ubiquitin-conjugating enzyme E2G 2 [Source:MGI Symbol;Acc:MGI:1343188]
NP,ENSMUSG00000009376,Met,17295,met proto-oncogene [Source:MGI Symbol;Acc:MGI:96969]
NP,ENSMUSG00000009378,Slc16a12,240638,"solute carrier family 16 (monocarboxylic acid transporters), member 12 [Source:MGI Symbol;Acc:MGI:2147716]"
NP,ENSMUSG00000009418,Nav1,215690,neuron navigator 1 [Source:MGI Symbol;Acc:MGI:2183683]
NP,ENSMUSG00000009580,Odam,69592,"odontogenic, ameloblast asssociated [Source:MGI Symbol;Acc:MGI:1916842]"
NP,ENSMUSG00000009588,St6galnac1,20445,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1 [Source:MGI Symbol;Acc:MGI:1341826]"
NP,ENSMUSG00000009596,Taf7l,74469,TATA-box binding protein associated factor 7 like [Source:MGI Symbol;Acc:MGI:1921719]
NP,ENSMUSG00000009907,Vps4b,20479,vacuolar protein sorting 4B [Source:MGI Symbol;Acc:MGI:1100499]
NP,ENSMUSG00000010095,Slc3a2,17254,"solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2 [Source:MGI Symbol;Acc:MGI:96955]"
NP,ENSMUSG00000010175,Prox1,19130,prospero homeobox 1 [Source:MGI Symbol;Acc:MGI:97772]
NP,ENSMUSG00000010435,Spaca7,78634,sperm acrosome associated 7 [Source:MGI Symbol;Acc:MGI:1925884]
NP,ENSMUSG00000010505,Myt1,17932,myelin transcription factor 1 [Source:MGI Symbol;Acc:MGI:1100535]
NP,ENSMUSG00000010601,Apol7a,75761,apolipoprotein L 7a [Source:MGI Symbol;Acc:MGI:1923011]
NP,ENSMUSG00000010609,Psen2,19165,presenilin 2 [Source:MGI Symbol;Acc:MGI:109284]
NP,ENSMUSG00000010760,Phlda2,22113,"pleckstrin homology like domain, family A, member 2 [Source:MGI Symbol;Acc:MGI:1202307]"
NP,ENSMUSG00000010797,Wnt2,22413,"wingless-type MMTV integration site family, member 2 [Source:MGI Symbol;Acc:MGI:98954]"
NP,ENSMUSG00000010911,Apip,56369,APAF1 interacting protein [Source:MGI Symbol;Acc:MGI:1926788]
NP,ENSMUSG00000011114,Tbrg1,21376,transforming growth factor beta regulated gene 1 [Source:MGI Symbol;Acc:MGI:1100877]
NP,ENSMUSG00000011256,Adam19,11492,a disintegrin and metallopeptidase domain 19 (meltrin beta) [Source:MGI Symbol;Acc:MGI:105377]
NP,ENSMUSG00000011305,Plin5,66968,perilipin 5 [Source:MGI Symbol;Acc:MGI:1914218]
NP,ENSMUSG00000011752,Pgam1,18648,phosphoglycerate mutase 1 [Source:MGI Symbol;Acc:MGI:97552]
NP,ENSMUSG00000011831,Evi5,14020,ecotropic viral integration site 5 [Source:MGI Symbol;Acc:MGI:104736]
NP,ENSMUSG00000011832,Evi5l,213027,ecotropic viral integration site 5 like [Source:MGI Symbol;Acc:MGI:2442167]
NP,ENSMUSG00000012126,Ubxn11,67586,UBX domain protein 11 [Source:MGI Symbol;Acc:MGI:1914836]
NP,ENSMUSG00000012211,Tex22,75671,testis expressed gene 22 [Source:MGI Symbol;Acc:MGI:1922921]
NP,ENSMUSG00000012282,Wnt8a,20890,"wingless-type MMTV integration site family, member 8A [Source:MGI Symbol;Acc:MGI:107924]"
NP,ENSMUSG00000012705,Retn,57264,resistin [Source:MGI Symbol;Acc:MGI:1888506]
NP,ENSMUSG00000013091,Tmem190,78052,transmembrane protein 190 [Source:MGI Symbol;Acc:MGI:1925302]
NP,ENSMUSG00000013150,Gfod2,70575,glucose-fructose oxidoreductase domain containing 2 [Source:MGI Symbol;Acc:MGI:1917825]
NP,ENSMUSG00000013160,Atp6v0d1,11972,"ATPase, H+ transporting, lysosomal V0 subunit D1 [Source:MGI Symbol;Acc:MGI:1201778]"
NP,ENSMUSG00000013584,Aldh1a2,19378,"aldehyde dehydrogenase family 1, subfamily A2 [Source:MGI Symbol;Acc:MGI:107928]"
NP,ENSMUSG00000013643,Lypd8,70163,LY6/PLAUR domain containing 8 [Source:MGI Symbol;Acc:MGI:1917413]
NP,ENSMUSG00000013663,Pten,19211,phosphatase and tensin homolog [Source:MGI Symbol;Acc:MGI:109583]
NP,ENSMUSG00000013974,Mcemp1,69189,mast cell expressed membrane protein 1 [Source:MGI Symbol;Acc:MGI:1916439]
NP,ENSMUSG00000014030,Pax5,18507,paired box 5 [Source:MGI Symbol;Acc:MGI:97489]
NP,ENSMUSG00000014104,Sval2,84543,seminal vesicle antigen-like 2 [Source:MGI Symbol;Acc:MGI:1934254]
NP,ENSMUSG00000014198,Zfp385c,278304,zinc finger protein 385C [Source:MGI Symbol;Acc:MGI:3608347]
NP,ENSMUSG00000014504,Srp19,66384,signal recognition particle 19 [Source:MGI Symbol;Acc:MGI:1913634]
NP,ENSMUSG00000014602,Kif1a,16560,kinesin family member 1A [Source:MGI Symbol;Acc:MGI:108391]
NP,ENSMUSG00000014686,Ceacam16,330483,carcinoembryonic antigen-related cell adhesion molecule 16 [Source:MGI Symbol;Acc:MGI:2685615]
NP,ENSMUSG00000014704,Hoxa2,15399,homeobox A2 [Source:MGI Symbol;Acc:MGI:96174]
NP,ENSMUSG00000014725,Adam28,13522,a disintegrin and metallopeptidase domain 28 [Source:MGI Symbol;Acc:MGI:105988]
NP,ENSMUSG00000014747,Ankrd53,75305,ankyrin repeat domain 53 [Source:MGI Symbol;Acc:MGI:1922555]
NP,ENSMUSG00000014748,Tex261,21766,testis expressed gene 261 [Source:MGI Symbol;Acc:MGI:1096575]
NP,ENSMUSG00000014813,Stc1,20855,stanniocalcin 1 [Source:MGI Symbol;Acc:MGI:109131]
NP,ENSMUSG00000015013,Trappc2l,59005,trafficking protein particle complex 2-like [Source:MGI Symbol;Acc:MGI:1916295]
NP,ENSMUSG00000015093,Clic3,69454,chloride intracellular channel 3 [Source:MGI Symbol;Acc:MGI:1916704]
NP,ENSMUSG00000015094,Npdc1,18146,"neural proliferation, differentiation and control 1 [Source:MGI Symbol;Acc:MGI:1099802]"
NP,ENSMUSG00000015143,Actn1,109711,"actinin, alpha 1 [Source:MGI Symbol;Acc:MGI:2137706]"
NP,ENSMUSG00000015290,Ubl4a,27643,ubiquitin-like 4A [Source:MGI Symbol;Acc:MGI:95049]
NP,ENSMUSG00000015335,Zdhhc12,66220,"zinc finger, DHHC domain containing 12 [Source:MGI Symbol;Acc:MGI:1913470]"
NP,ENSMUSG00000015340,Cybb,13058,"cytochrome b-245, beta polypeptide [Source:MGI Symbol;Acc:MGI:88574]"
NP,ENSMUSG00000015401,Cltrn,57394,"collectrin, amino acid transport regulator [Source:MGI Symbol;Acc:MGI:1926234]"
NP,ENSMUSG00000015405,Ace2,70008,angiotensin I converting enzyme (peptidyl-dipeptidase A) 2 [Source:MGI Symbol;Acc:MGI:1917258]
